Customer_ID,Bank_Name,Customer_Segment,Daily_Txn_Frequency,Daily_Txn_Limit,Daily_Amount_Spent,Daily_Amount_Limit,Monthly_Txn_Frequency,Monthly_Txn_Limit,Monthly_Amount_Spent,Monthly_Amount_Limit,Risk_Score,Risk_Category
CUST100563,ICICI Bank,Mass Retail,2,11,900,50000,45,242,19000,1080000,9.3,Low Risk
CUST100564,HDFC Bank,Mass Retail,2,10,26700,75000,41,224,454000,1590000,26.6,Low Risk
CUST100565,ICICI Bank,Mass Retail,6,10,94300,100000,138,200,3208000,2500000,90.5,High Risk
CUST100566,Canara Bank,Affluent,5,15,85000,300000,119,356,1965000,6680000,30.5,Low Risk
CUST100567,HDFC Bank,Mass Retail,10,9,71400,75000,255,209,2278000,1760000,114.0,High Risk
CUST100568,State Bank of India,Affluent,8,15,13000,400000,170,316,274000,8140000,25.2,Low Risk
CUST100569,Indian Bank,Business,16,57,121700,1000000,311,1088,1899000,23820000,18.1,Low Risk
CUST100570,Indian Bank,Mass Retail,4,13,1400,25000,75,254,20000,560000,16.2,Low Risk
CUST100571,IDFC First Bank,Affluent,3,13,8600,150000,48,283,206000,3430000,12.2,Low Risk
CUST100572,Punjab National Bank,Premium,3,24,118100,1000000,49,482,2133000,20060000,11.3,Low Risk
CUST100573,Federal Bank,Mass Retail,1,13,29500,75000,31,281,558000,1640000,24.6,Low Risk
CUST100574,IndusInd Bank,Affluent,2,18,23800,400000,36,421,368000,8980000,7.2,Low Risk
CUST100575,Union Bank of India,Business,3,65,2448700,5000000,65,1484,48943000,110620000,28.0,Low Risk
CUST100576,HDFC Bank,SME,13,41,292500,1500000,224,845,6972000,36610000,23.9,Low Risk
CUST100577,Canara Bank,Mass Retail,2,9,24300,50000,47,193,524000,1210000,35.9,Low Risk
CUST100578,State Bank of India,SME,20,33,712900,750000,641,769,26328000,18600000,98.0,High Risk
CUST100579,IndusInd Bank,Affluent,6,12,164000,400000,159,300,3625000,9070000,45.3,Low-Medium Risk
CUST100580,Kotak Mahindra Bank,Mass Retail,2,7,7400,75000,38,170,164000,1860000,16.5,Low Risk
CUST100581,Yes Bank,Affluent,1,12,47500,200000,13,274,933000,4770000,15.2,Low Risk
CUST100582,Kotak Mahindra Bank,SME,14,50,57700,750000,323,1077,1029000,14920000,17.0,Low Risk
CUST100583,Punjab National Bank,Affluent,9,21,22000,200000,203,453,316000,4200000,24.7,Low Risk
CUST100584,HDFC Bank,Mass Retail,1,9,21800,40000,24,226,351000,790000,32.6,Low Risk
CUST100585,IndusInd Bank,Affluent,6,14,52500,100000,96,270,627000,1800000,41.7,Low-Medium Risk
CUST100586,Bank of Baroda,Mass Retail,1,8,15400,50000,31,207,254000,970000,21.9,Low Risk
CUST100587,Bank of Baroda,Mass Retail,2,10,13200,40000,41,237,166000,720000,23.8,Low Risk
CUST100588,State Bank of India,Mass Retail,3,13,42000,75000,60,309,761000,1730000,37.2,Low Risk
CUST100589,Axis Bank,Mass Retail,3,9,8600,100000,65,173,166000,2100000,20.4,Low Risk
CUST100590,Axis Bank,Mass Retail,4,12,1800,75000,91,279,32000,1510000,15.6,Low Risk
CUST100591,Punjab National Bank,Mass Retail,8,8,47400,100000,210,179,1149000,2330000,74.6,Medium Risk
CUST100592,Federal Bank,Affluent,3,12,47200,150000,48,237,893000,3570000,25.6,Low Risk
CUST100593,IndusInd Bank,Mass Retail,2,7,45100,40000,98,147,1162000,990000,85.5,Medium Risk
CUST100594,Punjab National Bank,Mass Retail,4,8,9600,25000,93,202,217000,560000,42.7,Low-Medium Risk
CUST100595,Indian Bank,Business,10,44,278500,5000000,227,1005,5494000,106150000,13.2,Low Risk
CUST100596,Indian Bank,Affluent,4,21,3900,100000,83,460,63000,2010000,10.1,Low Risk
CUST100597,Kotak Mahindra Bank,Premium,20,20,259800,300000,501,390,5451000,5870000,100.6,High Risk
CUST100598,Union Bank of India,Mass Retail,1,9,12500,75000,12,216,204000,1460000,12.4,Low Risk
CUST100599,State Bank of India,Mass Retail,1,7,11100,25000,17,167,187000,520000,27.7,Low Risk
CUST100600,Bank of Baroda,Mass Retail,4,11,3400,25000,95,256,72000,620000,23.3,Low Risk
CUST100601,Bank of Baroda,Mass Retail,5,10,107400,100000,99,226,1913000,1800000,80.3,Medium Risk
CUST100602,Canara Bank,Mass Retail,1,7,6900,25000,16,154,126000,480000,20.4,Low Risk
CUST100603,Canara Bank,Mass Retail,8,12,10000,40000,157,278,181000,770000,40.8,Low-Medium Risk
CUST100604,ICICI Bank,Mass Retail,3,10,20400,100000,60,206,385000,2300000,23.3,Low Risk
CUST100605,Punjab National Bank,Mass Retail,1,9,9200,40000,18,230,151000,820000,15.7,Low Risk
CUST100606,Union Bank of India,Affluent,5,13,25100,100000,83,301,395000,2120000,26.8,Low Risk
CUST100607,Federal Bank,Mass Retail,0,6,19000,75000,3,127,239000,1430000,12.2,Low Risk
CUST100608,State Bank of India,Mass Retail,2,12,9700,50000,46,266,168000,1040000,17.3,Low Risk
CUST100609,Federal Bank,Affluent,5,14,61700,200000,92,345,1149000,3740000,31.2,Low Risk
CUST100610,Bank of Baroda,Premium,5,21,218600,500000,68,423,4069000,10870000,31.5,Low Risk
CUST100611,ICICI Bank,Mass Retail,1,7,9000,100000,18,147,120000,1870000,9.9,Low Risk
CUST100612,Federal Bank,Premium,8,29,67600,500000,148,689,1587000,11770000,18.3,Low Risk
CUST100613,Bank of Baroda,Affluent,4,21,57200,300000,87,445,993000,6590000,18.1,Low Risk
CUST100614,ICICI Bank,Mass Retail,2,7,1600,25000,29,172,30000,580000,13.2,Low Risk
CUST100615,Indian Bank,Business,35,77,1455800,5000000,519,1533,28197000,104650000,33.1,Low Risk
CUST100616,IndusInd Bank,SME,30,28,498800,750000,708,681,15756000,15500000,93.7,High Risk
CUST100617,IndusInd Bank,Mass Retail,1,11,8000,25000,12,214,136000,470000,20.4,Low Risk
CUST100618,Punjab National Bank,Mass Retail,1,9,5400,75000,17,172,80000,1630000,8.0,Low Risk
CUST100619,Indian Bank,Business,10,76,36300,2500000,188,1922,687000,54000000,5.6,Low Risk
CUST100620,Federal Bank,Premium,5,21,106800,1000000,108,484,2151000,21280000,16.0,Low Risk
CUST100621,Axis Bank,Mass Retail,4,10,16600,100000,88,215,298000,2320000,26.2,Low Risk
CUST100622,Axis Bank,Mass Retail,1,12,12900,100000,13,248,267000,2380000,9.6,Low Risk
CUST100623,Punjab National Bank,Mass Retail,0,6,2000,40000,2,140,44000,930000,3.0,Low Risk
CUST100624,Yes Bank,Affluent,0,12,35300,200000,7,271,441000,3800000,9.1,Low Risk
CUST100625,Yes Bank,Affluent,1,13,125400,300000,40,337,1892000,6710000,24.0,Low Risk
CUST100626,Canara Bank,Mass Retail,3,10,10900,50000,82,259,167000,930000,24.8,Low Risk
CUST100627,Kotak Mahindra Bank,Affluent,16,21,81000,100000,572,492,1900000,2290000,88.2,Medium Risk
CUST100628,Canara Bank,Premium,10,32,636000,500000,343,707,14514000,10340000,92.4,High Risk
CUST100629,State Bank of India,Mass Retail,1,6,1200,40000,12,135,23000,760000,7.4,Low Risk
CUST100630,Bank of India,Mass Retail,1,7,4000,50000,19,166,80000,1200000,9.7,Low Risk
CUST100631,ICICI Bank,Premium,23,33,325100,1000000,446,650,7422000,22300000,49.1,Low-Medium Risk
CUST100632,Punjab National Bank,Business,43,64,1453100,1500000,854,1363,30753000,30720000,83.8,Medium Risk
CUST100633,Federal Bank,Affluent,5,18,92500,300000,69,351,1210000,5460000,25.4,Low Risk
CUST100634,HDFC Bank,Affluent,2,14,27600,100000,34,273,420000,2180000,18.9,Low Risk
CUST100635,HDFC Bank,Mass Retail,2,7,27300,100000,30,143,687000,2450000,26.4,Low Risk
CUST100636,Federal Bank,Affluent,2,17,1900,100000,31,381,37000,2220000,5.5,Low Risk
CUST100637,Kotak Mahindra Bank,Affluent,6,13,27200,150000,141,318,624000,3720000,29.6,Low Risk
CUST100638,Kotak Mahindra Bank,Mass Retail,1,10,50900,100000,21,224,1012000,1900000,33.3,Low Risk
CUST100639,ICICI Bank,Mass Retail,7,7,34500,40000,191,149,640000,880000,94.7,High Risk
CUST100640,Canara Bank,Mass Retail,2,9,6400,40000,41,176,118000,940000,18.0,Low Risk
CUST100641,IndusInd Bank,Mass Retail,2,13,13900,50000,44,297,262000,1080000,21.2,Low Risk
CUST100642,Indian Bank,Mass Retail,3,12,500,25000,65,251,6000,470000,12.1,Low Risk
CUST100643,HDFC Bank,Mass Retail,0,7,9400,100000,7,163,161000,2210000,5.4,Low Risk
CUST100644,Axis Bank,Mass Retail,3,11,1100,50000,62,284,23000,1110000,11.9,Low Risk
CUST100645,Axis Bank,Mass Retail,3,10,6000,50000,50,198,95000,1160000,17.7,Low Risk
CUST100646,ICICI Bank,Business,53,65,431600,500000,1496,1332,7834000,11660000,85.5,Medium Risk
CUST100647,State Bank of India,Affluent,4,19,104700,400000,74,424,2407000,9360000,22.9,Low Risk
CUST100648,Bank of India,Premium,8,25,50300,750000,235,645,908000,16980000,18.3,Low Risk
CUST100649,ICICI Bank,Premium,31,31,47100,500000,672,756,1079000,9760000,47.2,Low-Medium Risk
CUST100650,Yes Bank,Affluent,9,12,88900,150000,384,303,2155000,3120000,80.3,Medium Risk
CUST100651,ICICI Bank,Mass Retail,11,9,20600,25000,190,192,534000,590000,97.1,High Risk
CUST100652,Union Bank of India,Affluent,5,15,33200,150000,90,389,827000,3700000,24.6,Low Risk
CUST100653,IndusInd Bank,Affluent,22,18,127400,150000,468,355,2437000,2780000,104.3,High Risk
CUST100654,Yes Bank,Premium,9,29,308100,500000,152,562,5159000,10870000,43.3,Low-Medium Risk
CUST100655,Canara Bank,Affluent,9,16,406300,300000,161,400,6203000,6060000,87.5,Medium Risk
CUST100656,ICICI Bank,Mass Retail,3,13,9100,75000,72,331,142000,1470000,16.1,Low Risk
CUST100657,State Bank of India,Mass Retail,10,11,47200,75000,227,216,1617000,1620000,88.8,Medium Risk
CUST100658,Punjab National Bank,Mass Retail,3,11,33900,100000,38,218,536000,2220000,25.9,Low Risk
CUST100659,HDFC Bank,Affluent,3,13,9700,200000,52,250,147000,3610000,12.2,Low Risk
CUST100660,Bank of Baroda,Affluent,18,19,117900,150000,458,375,2765000,3520000,92.0,High Risk
CUST100661,ICICI Bank,Mass Retail,6,6,22100,25000,119,123,576000,590000,95.4,High Risk
CUST100662,Punjab National Bank,SME,9,43,457700,1500000,205,1109,9685000,37140000,24.5,Low Risk
CUST100663,Punjab National Bank,Affluent,7,19,117300,100000,370,450,2791000,1930000,99.5,High Risk
CUST100664,Punjab National Bank,Mass Retail,2,8,23300,100000,46,196,376000,2220000,21.8,Low Risk
CUST100665,Axis Bank,Mass Retail,2,8,7500,50000,32,195,112000,1050000,16.3,Low Risk
CUST100666,ICICI Bank,Mass Retail,4,12,4100,50000,91,273,65000,1020000,18.4,Low Risk
CUST100667,Union Bank of India,Mass Retail,2,13,8600,40000,35,320,188000,880000,17.8,Low Risk
CUST100668,IDFC First Bank,Mass Retail,2,8,3800,50000,35,185,89000,1170000,14.2,Low Risk
CUST100669,ICICI Bank,Mass Retail,14,13,29100,40000,269,276,512000,730000,85.1,Medium Risk
CUST100670,IndusInd Bank,Mass Retail,2,7,25700,100000,31,160,459000,2480000,23.2,Low Risk
CUST100671,HDFC Bank,Mass Retail,0,12,2700,75000,4,273,49000,1780000,2.2,Low Risk
CUST100672,ICICI Bank,Business,5,80,117700,500000,135,1981,2711000,11630000,16.0,Low Risk
CUST100673,Bank of India,Mass Retail,8,8,67700,100000,252,207,2452000,2330000,97.3,High Risk
CUST100674,State Bank of India,Affluent,3,14,21200,100000,48,306,452000,2070000,20.2,Low Risk
CUST100675,IndusInd Bank,Mass Retail,3,12,9700,40000,61,292,225000,930000,23.6,Low Risk
CUST100676,IDFC First Bank,SME,16,36,455700,1500000,327,709,7494000,31060000,34.9,Low Risk
CUST100677,Federal Bank,Mass Retail,2,10,6400,40000,34,244,154000,970000,16.4,Low Risk
CUST100678,Punjab National Bank,Mass Retail,1,9,17500,100000,16,194,290000,1920000,13.4,Low Risk
CUST100679,Axis Bank,SME,7,29,2000,200000,137,559,35000,4010000,11.3,Low Risk
CUST100680,Axis Bank,Business,68,65,4397300,5000000,1388,1400,78891000,109300000,89.7,Medium Risk
CUST100681,Canara Bank,Business,7,61,1812400,5000000,150,1420,37809000,101170000,25.3,Low Risk
CUST100682,HDFC Bank,Mass Retail,4,9,7300,25000,96,179,105000,520000,35.3,Low Risk
CUST100683,Union Bank of India,Mass Retail,4,8,28900,25000,170,204,663000,540000,96.2,High Risk
CUST100684,HDFC Bank,Premium,8,30,82000,500000,144,586,1393000,12000000,19.3,Low Risk
CUST100685,IndusInd Bank,SME,17,42,39100,200000,303,1071,758000,4330000,25.6,Low Risk
CUST100686,IDFC First Bank,Affluent,7,21,459100,400000,353,503,8470000,8210000,83.7,Medium Risk
CUST100687,Bank of Baroda,Affluent,9,18,112900,100000,312,384,2950000,1970000,102.5,High Risk
CUST100688,ICICI Bank,Mass Retail,2,7,16800,25000,35,152,242000,520000,43.4,Low-Medium Risk
CUST100689,Federal Bank,Premium,4,20,49600,500000,95,484,1009000,10810000,14.1,Low Risk
CUST100690,Bank of Baroda,Mass Retail,8,7,31300,25000,204,162,818000,580000,127.3,High Risk
CUST100691,IDFC First Bank,Mass Retail,2,11,19200,40000,41,261,364000,750000,34.6,Low Risk
CUST100692,IndusInd Bank,Affluent,3,17,59200,150000,60,369,932000,2930000,27.4,Low Risk
CUST100693,IDFC First Bank,Affluent,5,19,3900,150000,85,426,81000,3100000,11.8,Low Risk
CUST100694,Indian Bank,Mass Retail,4,8,9000,25000,72,207,180000,510000,38.6,Low Risk
CUST100695,Punjab National Bank,Mass Retail,10,13,66100,75000,319,266,1676000,1560000,97.9,High Risk
CUST100696,Kotak Mahindra Bank,Affluent,11,21,16300,100000,176,460,282000,2360000,27.6,Low Risk
CUST100697,HDFC Bank,Mass Retail,13,12,91800,100000,265,253,1546000,2030000,93.9,High Risk
CUST100698,Punjab National Bank,Affluent,23,21,103900,150000,669,511,2548000,3230000,94.5,High Risk
CUST100699,Canara Bank,Mass Retail,13,12,57300,75000,366,292,1482000,1680000,97.2,High Risk
CUST100700,State Bank of India,Affluent,2,14,27000,200000,41,295,498000,3930000,13.7,Low Risk
CUST100701,Kotak Mahindra Bank,Affluent,15,18,130300,150000,320,352,2477000,3450000,82.8,Medium Risk
CUST100702,IndusInd Bank,Mass Retail,1,6,21100,100000,15,114,322000,2180000,16.7,Low Risk
CUST100703,IndusInd Bank,Mass Retail,1,10,5100,25000,19,220,70000,530000,13.4,Low Risk
CUST100704,Indian Bank,Mass Retail,6,7,87600,100000,199,153,2260000,2370000,98.8,High Risk
CUST100705,Bank of India,Mass Retail,5,12,7000,50000,136,311,102000,990000,25.6,Low Risk
CUST100706,IndusInd Bank,SME,4,33,45500,750000,65,736,756000,18140000,7.4,Low Risk
CUST100707,IDFC First Bank,Mass Retail,1,9,4400,40000,12,187,94000,880000,9.9,Low Risk
CUST100708,Union Bank of India,Business,13,64,1489100,5000000,263,1615,23467000,111320000,22.2,Low Risk
CUST100709,IDFC First Bank,Mass Retail,1,7,27000,50000,27,157,478000,1210000,33.1,Low Risk
CUST100710,ICICI Bank,Premium,2,29,121700,500000,49,673,2862000,11860000,16.5,Low Risk
CUST100711,ICICI Bank,Premium,6,22,179900,500000,115,433,2647000,11110000,28.7,Low Risk
CUST100712,State Bank of India,Affluent,17,14,124400,150000,297,304,2139000,3490000,88.5,Medium Risk
CUST100713,Yes Bank,Affluent,6,19,66800,200000,108,487,1473000,4210000,30.9,Low Risk
CUST100714,Bank of India,Mass Retail,11,11,15400,25000,230,254,409000,550000,80.1,Medium Risk
CUST100715,Federal Bank,Mass Retail,1,8,20300,50000,21,171,351000,920000,27.4,Low Risk
CUST100716,Canara Bank,SME,3,42,244000,750000,66,982,3028000,13970000,18.5,Low Risk
CUST100717,ICICI Bank,Business,16,48,1420100,2500000,400,1218,32653000,59510000,45.9,Low-Medium Risk
CUST100718,Union Bank of India,SME,10,36,19700,200000,218,753,252000,3680000,17.3,Low Risk
CUST100719,IndusInd Bank,Mass Retail,9,8,35600,50000,210,180,675000,960000,89.9,Medium Risk
CUST100720,Union Bank of India,Premium,10,28,147000,500000,281,720,3023000,11790000,31.9,Low Risk
CUST100721,Bank of Baroda,SME,36,28,244100,200000,545,566,3726000,3600000,112.5,High Risk
CUST100722,Bank of Baroda,Mass Retail,1,6,12100,50000,26,144,244000,1000000,21.1,Low Risk
CUST100723,ICICI Bank,Mass Retail,4,9,17300,100000,90,210,264000,2210000,27.3,Low Risk
CUST100724,Punjab National Bank,Premium,7,21,207400,1000000,136,499,3031000,22170000,23.0,Low Risk
CUST100725,Bank of India,Affluent,2,20,7300,150000,58,429,176000,3520000,8.1,Low Risk
CUST100726,Punjab National Bank,Business,5,76,2339900,5000000,94,1611,46779000,107710000,28.1,Low Risk
CUST100727,Punjab National Bank,Mass Retail,13,13,66200,50000,367,309,1214000,1080000,116.5,High Risk
CUST100728,ICICI Bank,Premium,5,25,103600,1000000,96,513,2206000,23080000,14.2,Low Risk
CUST100729,Indian Bank,Mass Retail,1,8,23500,40000,22,176,442000,860000,36.1,Low Risk
CUST100730,State Bank of India,Mass Retail,2,11,12700,100000,24,223,196000,2230000,12.5,Low Risk
CUST100731,Axis Bank,Mass Retail,2,8,53900,75000,24,152,1064000,1820000,45.4,Low-Medium Risk
CUST100732,IDFC First Bank,Business,3,70,106200,1000000,69,1805,2018000,20810000,7.6,Low Risk
CUST100733,Bank of India,Premium,6,28,129400,750000,139,617,1890000,15520000,17.8,Low Risk
CUST100734,Yes Bank,Affluent,21,21,100200,100000,633,541,2555000,1800000,115.5,High Risk
CUST100735,ICICI Bank,Mass Retail,4,13,16600,50000,63,260,316000,1110000,29.2,Low Risk
CUST100736,Kotak Mahindra Bank,Business,6,41,267900,1000000,124,948,4913000,18210000,21.3,Low Risk
CUST100737,Bank of Baroda,Mass Retail,1,11,13000,50000,23,224,246000,1080000,17.9,Low Risk
CUST100738,Yes Bank,Business,8,79,475000,1000000,199,1938,7413000,23630000,26.5,Low Risk
CUST100739,Federal Bank,Affluent,5,14,87500,150000,113,343,1433000,3280000,43.7,Low-Medium Risk
CUST100740,Union Bank of India,Mass Retail,2,11,10200,25000,32,218,214000,500000,30.8,Low Risk
CUST100741,Punjab National Bank,Affluent,7,12,131800,400000,131,305,3109000,9400000,40.7,Low-Medium Risk
CUST100742,ICICI Bank,Mass Retail,8,8,31900,40000,206,163,875000,800000,102.6,High Risk
CUST100743,Axis Bank,Premium,25,21,190300,300000,444,489,7414000,6940000,93.8,High Risk
CUST100744,Yes Bank,Affluent,2,17,103100,400000,40,440,1995000,8910000,18.1,Low Risk
CUST100745,Axis Bank,Mass Retail,1,6,12400,25000,22,151,162000,480000,30.6,Low Risk
CUST100746,Bank of Baroda,Business,18,60,535900,1500000,410,1542,9995000,36500000,30.2,Low Risk
CUST100747,Federal Bank,Mass Retail,8,7,55700,50000,202,150,1391000,970000,125.9,High Risk
CUST100748,ICICI Bank,Affluent,11,17,348400,300000,211,336,7994000,7480000,90.6,High Risk
CUST100749,Indian Bank,Business,74,75,47200,2500000,1297,1524,1119000,45130000,41.6,Low-Medium Risk
CUST100750,IndusInd Bank,Affluent,4,12,48600,200000,90,270,976000,3970000,28.2,Low Risk
CUST100751,Bank of Baroda,Mass Retail,10,13,31900,40000,387,319,603000,780000,87.5,Medium Risk
CUST100752,ICICI Bank,SME,46,44,97700,750000,967,882,2441000,13570000,56.0,Low-Medium Risk
CUST100753,Federal Bank,Affluent,6,18,84700,300000,144,425,1515000,6940000,28.7,Low Risk
CUST100754,Yes Bank,Mass Retail,0,7,37800,100000,6,149,712000,2290000,20.2,Low Risk
CUST100755,ICICI Bank,Mass Retail,3,6,34400,100000,74,128,817000,2350000,43.1,Low-Medium Risk
CUST100756,Kotak Mahindra Bank,Premium,5,30,77200,300000,88,709,1504000,5940000,20.7,Low Risk
CUST100757,Federal Bank,Affluent,4,14,3600,200000,76,312,73000,4220000,12.8,Low Risk
CUST100758,Bank of India,Affluent,3,12,9400,150000,81,296,213000,3390000,14.8,Low Risk
CUST100759,IDFC First Bank,Business,6,63,192300,500000,110,1266,2891000,10540000,22.4,Low Risk
CUST100760,Punjab National Bank,Premium,5,26,274200,500000,90,638,5538000,11440000,36.1,Low Risk
CUST100761,State Bank of India,Mass Retail,2,11,25600,100000,32,214,443000,2240000,20.1,Low Risk
CUST100762,Indian Bank,Mass Retail,3,8,18200,75000,59,163,265000,1410000,28.3,Low Risk
CUST100763,Kotak Mahindra Bank,Mass Retail,3,9,4100,50000,50,212,85000,1170000,16.7,Low Risk
CUST100764,State Bank of India,Premium,25,26,45100,300000,710,650,1061000,6910000,53.5,Low-Medium Risk
CUST100765,State Bank of India,Mass Retail,7,7,21800,25000,134,145,527000,560000,92.9,High Risk
CUST100766,HDFC Bank,Affluent,16,14,46200,150000,305,298,1096000,2860000,66.8,Medium Risk
CUST100767,Bank of India,Premium,7,26,118500,300000,138,592,2076000,5960000,32.0,Low Risk
CUST100768,Bank of India,Business,16,60,22700,1000000,325,1229,323000,20750000,12.8,Low Risk
CUST100769,ICICI Bank,Mass Retail,3,10,3500,75000,74,247,47000,1500000,15.4,Low Risk
CUST100770,IndusInd Bank,Business,24,84,386700,5000000,569,2051,5141000,97970000,16.2,Low Risk
CUST100771,Bank of India,Mass Retail,10,10,85500,75000,230,200,2369000,1770000,116.7,High Risk
CUST100772,Axis Bank,Business,45,77,929600,2500000,959,1713,14905000,56170000,43.0,Low-Medium Risk
CUST100773,Indian Bank,Mass Retail,1,7,7500,25000,18,171,114000,550000,19.8,Low Risk
CUST100774,Bank of India,Mass Retail,0,7,4100,25000,8,150,70000,490000,9.5,Low Risk
CUST100775,IDFC First Bank,Premium,12,29,682500,500000,495,680,14079000,12210000,95.4,High Risk
CUST100776,Federal Bank,Mass Retail,1,6,5900,25000,22,116,111000,480000,21.1,Low Risk
CUST100777,Union Bank of India,Mass Retail,3,8,4100,25000,44,186,76000,590000,21.8,Low Risk
CUST100778,IDFC First Bank,Premium,5,20,51200,750000,86,401,953000,18580000,13.5,Low Risk
CUST100779,HDFC Bank,Premium,5,24,216200,300000,100,596,4340000,6930000,46.2,Low-Medium Risk
CUST100780,Axis Bank,Affluent,3,14,49300,300000,69,301,1153000,7490000,18.4,Low Risk
CUST100781,Union Bank of India,Premium,25,28,212500,300000,693,587,5868000,6770000,89.8,Medium Risk
CUST100782,Bank of Baroda,Affluent,6,14,31400,200000,136,348,607000,3900000,27.0,Low Risk
CUST100783,Punjab National Bank,Mass Retail,3,9,3600,100000,62,174,56000,1940000,17.1,Low Risk
CUST100784,Yes Bank,Mass Retail,7,7,49200,100000,137,152,983000,2030000,69.0,Medium Risk
CUST100785,Yes Bank,Mass Retail,1,6,12400,50000,24,130,211000,900000,21.1,Low Risk
CUST100786,ICICI Bank,Business,56,59,95200,5000000,1128,1239,1832000,113860000,42.0,Low-Medium Risk
CUST100787,Kotak Mahindra Bank,Affluent,17,19,89000,100000,639,482,1309000,1990000,92.2,High Risk
CUST100788,Bank of Baroda,Mass Retail,12,13,23400,40000,408,315,1025000,950000,95.3,High Risk
CUST100789,Punjab National Bank,Affluent,3,15,11700,300000,60,292,188000,6150000,11.0,Low Risk
CUST100790,Axis Bank,SME,8,40,129000,400000,190,960,2379000,8540000,25.6,Low Risk
CUST100791,IndusInd Bank,Mass Retail,9,9,59700,75000,176,204,1147000,1860000,80.7,Medium Risk
CUST100792,Indian Bank,Affluent,22,21,81400,100000,623,531,1617000,1970000,94.5,High Risk
CUST100793,Bank of Baroda,Affluent,6,19,48100,300000,132,403,1060000,6910000,23.0,Low Risk
CUST100794,Kotak Mahindra Bank,Affluent,5,20,16700,150000,122,460,389000,3490000,17.6,Low Risk
CUST100795,ICICI Bank,Mass Retail,4,12,6500,40000,71,270,84000,780000,20.5,Low Risk
CUST100796,ICICI Bank,Business,30,52,3161600,2500000,904,1166,65441000,53770000,99.4,High Risk
CUST100797,Indian Bank,SME,9,51,442500,1500000,194,1132,9478000,30680000,24.8,Low Risk
CUST100798,Punjab National Bank,Affluent,6,13,98600,300000,122,266,1601000,7020000,35.9,Low Risk
CUST100799,Punjab National Bank,Premium,6,20,467100,750000,163,486,7527000,16770000,44.0,Low-Medium Risk
CUST100800,Punjab National Bank,SME,6,29,14500,400000,118,643,285000,8530000,10.5,Low Risk
CUST100801,Kotak Mahindra Bank,Premium,17,28,532600,500000,341,720,14388000,11730000,88.2,Medium Risk
CUST100802,Bank of India,Mass Retail,0,13,7000,40000,4,271,122000,790000,9.5,Low Risk
CUST100803,Federal Bank,Affluent,5,12,34700,150000,119,285,680000,3490000,30.2,Low Risk
CUST100804,ICICI Bank,Affluent,7,18,60400,300000,171,461,1188000,7220000,26.8,Low Risk
CUST100805,IDFC First Bank,Affluent,9,21,51200,400000,177,497,973000,9660000,23.8,Low Risk
CUST100806,Bank of India,Premium,7,31,162300,750000,156,778,2477000,17610000,19.5,Low Risk
CUST100807,IDFC First Bank,SME,2,40,64000,750000,37,992,1166000,15640000,6.5,Low Risk
CUST100808,Canara Bank,SME,4,50,111200,400000,68,1076,2338000,9950000,17.4,Low Risk
CUST100809,Federal Bank,Affluent,19,18,337900,400000,473,418,6325000,8260000,93.3,High Risk
CUST100810,Federal Bank,Mass Retail,4,11,10700,25000,71,221,175000,560000,35.7,Low Risk
CUST100811,Punjab National Bank,SME,24,25,252400,200000,640,569,5466000,3830000,121.1,High Risk
CUST100812,Federal Bank,Business,21,60,270500,500000,476,1237,4689000,12430000,41.8,Low-Medium Risk
CUST100813,Axis Bank,Mass Retail,2,12,4000,25000,40,290,72000,570000,14.9,Low Risk
CUST100814,Federal Bank,SME,6,35,52700,200000,144,794,1250000,4650000,22.5,Low Risk
CUST100815,Bank of Baroda,Business,14,53,1621600,5000000,324,1160,31134000,92300000,30.4,Low Risk
CUST100816,Canara Bank,Affluent,1,15,6500,200000,20,313,107000,4670000,4.3,Low Risk
CUST100817,Indian Bank,Affluent,1,16,25200,400000,31,416,588000,9370000,6.2,Low Risk
CUST100818,Union Bank of India,Mass Retail,1,7,9000,25000,14,137,145000,570000,22.4,Low Risk
CUST100819,Yes Bank,Mass Retail,2,12,14300,40000,32,232,227000,800000,24.7,Low Risk
CUST100820,IDFC First Bank,Mass Retail,1,6,1300,25000,30,123,22000,540000,11.5,Low Risk
CUST100821,Canara Bank,Business,17,71,1007300,5000000,446,1832,16386000,93870000,20.9,Low Risk
CUST100822,IndusInd Bank,Mass Retail,5,11,8700,25000,98,284,132000,530000,34.4,Low Risk
CUST100823,Indian Bank,Mass Retail,9,8,31300,50000,194,189,942000,990000,91.5,High Risk
CUST100824,State Bank of India,Mass Retail,3,11,24600,50000,65,277,438000,1020000,36.8,Low Risk
CUST100825,ICICI Bank,Affluent,21,19,96900,400000,360,389,2584000,7660000,61.1,Low-Medium Risk
CUST100826,ICICI Bank,Business,25,73,1493300,2500000,506,1884,27272000,49030000,45.9,Low-Medium Risk
CUST100827,State Bank of India,Mass Retail,3,6,76300,75000,74,120,1672000,1390000,86.8,Medium Risk
CUST100828,IndusInd Bank,Mass Retail,2,7,1100,40000,34,138,27000,980000,13.6,Low Risk
CUST100829,Punjab National Bank,Premium,33,27,335100,300000,570,534,6856000,6510000,111.1,High Risk
CUST100830,Indian Bank,Affluent,10,21,100600,400000,179,483,1620000,8310000,31.0,Low Risk
CUST100831,Axis Bank,Mass Retail,1,10,2500,25000,14,245,55000,540000,9.1,Low Risk
CUST100832,State Bank of India,Affluent,5,18,88300,200000,82,388,1537000,4480000,32.6,Low Risk
